ID_REF,direction,chromosome,mapinfo,chromosome_arm
cg04473095,higher_in_a,10,50885235.0,10q
cg15877425,higher_in_a,7,130357453.0,7q
cg23817132,higher_in_a,13,56790593.0,13q
cg22740796,higher_in_a,10,132461281.0,10q
cg10848272,higher_in_a,14,70653719.0,14q
cg05341786,higher_in_a,6,144150174.0,6q
cg06320828,lower_in_a,3,137488591.0,3q
cg05291025,higher_in_a,2,233897149.0,2q
cg00657674,higher_in_a,3,102198240.0,3q
cg01430970,higher_in_a,17,79905219.0,17q
cg22442454,lower_in_a,1,209979470.0,1q
cg12684958,higher_in_a,4,74921425.0,4q
cg10559585,higher_in_a,11,66021275.0,11q
cg11452329,higher_in_a,6,85824216.0,6q
cg19707128,higher_in_a,2,127635279.0,2q
cg06850158,higher_in_a,4,74567419.0,4q
cg17227257,higher_in_a,4,1202694.0,4p
cg27284120,higher_in_a,19,52302551.0,19q
cg21697851,lower_in_a,21,38076869.0,21q
cg10385290,higher_in_a,19,15083818.0,19p
cg19092343,higher_in_a,1,47284627.0,1p
cg10372057,higher_in_a,7,41448992.0,7p
cg27071152,lower_in_a,7,39649443.0,7p
cg17129986,higher_in_a,17,49022021.0,17q
cg16360831,higher_in_a,5,978322.0,5p
cg19005390,higher_in_a,13,110852582.0,13q
cg18878992,lower_in_a,17,43974344.0,17q
cg17478979,higher_in_a,6,149772150.0,6q
cg00555894,higher_in_a,4,97182116.0,4q
cg01689438,lower_in_a,3,147140930.0,3q
cg23729283,higher_in_a,7,29040109.0,7p
cg22840361,lower_in_a,15,96887919.0,15q
cg06048910,higher_in_a,11,2925473.0,11p
cg11531579,lower_in_a,12,133484743.0,12q
cg12934366,higher_in_a,8,1960466.0,8p
cg14142965,lower_in_a,12,104609432.0,12q
cg10815253,higher_in_a,2,116925524.0,2q
cg05317090,lower_in_a,16,54969706.0,16q
cg09568252,higher_in_a,6,8952871.0,6p
cg23905789,higher_in_a,6,32549935.0,6p
cg00071984,higher_in_a,3,60617504.0,3p
cg27107893,higher_in_a,5,142776274.0,5q
cg21946299,lower_in_a,3,12329166.0,3p
cg19961800,higher_in_a,14,62550978.0,14q
cg05036212,lower_in_a,2,119609691.0,2q
cg25282652,higher_in_a,12,128364739.0,12q
cg01720945,higher_in_a,1,204226892.0,1q
cg10350352,lower_in_a,3,169487235.0,3q
cg02297063,lower_in_a,19,1132389.0,19p
