gene_id,median_log1p_treated,median_log1p_untreated,delta_log1p_treated_minus_untreated,u_statistic,p_treatment,spearman_rho_with_R,p_R_correlation,detected_frac_treated,detected_frac_untreated,n_detected_total,q_treatment_bh,q_R_correlation_bh,gene_id_stripped,gene_symbol,gene_biotype,chromosome,bridge_direction,bridge_score
ENSG00000117448,0.0,3.5553480614894135,-3.5553480614894135,219196.5,0.001964774699442314,-0.2752974397296996,5.397596241275586e-30,0.4935400516795866,0.5858505564387917,928,0.011993584579198453,1.2883963113500858e-27,ENSG00000117448,AKR1A1,protein_coding,chr1,treated_down_R_negative,0.9787782186759861
ENSG00000112096,0.0,3.5263605246161616,-3.5263605246161616,172869.5,5.921885663388631e-19,-0.2756595564891589,4.514534410432921e-30,0.42377260981912146,0.6724960254372019,1010,6.52725722608062e-17,1.091642417555303e-27,ENSG00000112096,,,,treated_down_R_negative,0.9720749782365689
ENSG00000187147,0.0,3.828641396489095,-3.828641396489095,137225.5,3.8747022666292994e-40,-0.24965469269147458,8.56815505961411e-25,0.39018087855297157,0.7416534181240063,1084,1.8312664818631478e-37,8.123600631445073e-23,ENSG00000187147,RNF220,protein_coding,chr1,treated_down_R_negative,0.9558382912663431
ENSG00000107738,0.0,4.615071499636182,-4.615071499636182,182345.0,1.3728619917708265e-14,-0.2023950044656525,1.1464525554520641e-16,0.4625322997416021,0.6605723370429253,1010,9.495273638427359e-13,2.525515152698887e-15,ENSG00000107738,VSIR,protein_coding,chr10,treated_down_R_negative,0.9340674167781706
ENSG00000026508,0.0,6.274746061333229,-6.274746061333229,92672.0,1.1450721450570776e-76,-0.1479403619508037,1.6508425032232487e-09,0.35658914728682173,0.9252782193958664,1302,2.9765196183971186e-73,1.0315450761827484e-08,ENSG00000026508,CD44,protein_coding,chr11,treated_down_R_negative,0.9282882034630178
ENSG00000076641,0.6931471805599453,4.388237894673161,-3.695090714113215,170597.0,1.4391247121392214e-19,-0.2419031393428637,2.4726956995300124e-23,0.524547803617571,0.739268680445151,1133,1.6750230278268185e-17,1.810582088155861e-21,ENSG00000076641,PAG1,protein_coding,chr8,treated_down_R_negative,0.8938540439006508
ENSG00000109861,0.0,3.4811217321331034,-3.4811217321331034,157976.0,3.208388649536609e-28,-0.2560352310973953,4.9242276120540543e-26,0.2661498708010336,0.6208267090620032,884,7.41327904777744e-26,5.862650072626035e-24,ENSG00000109861,CTSC,protein_coding,chr11,treated_down_R_negative,0.8912898071648641
ENSG00000094916,0.0,3.367295829986474,-3.367295829986474,186457.0,5.834403412869831e-13,-0.26378274277883423,1.3761461605512326e-27,0.45478036175710596,0.6454689984101749,988,3.321031855066581e-11,2.093957423710956e-25,ENSG00000094916,CBX5,protein_coding,chr12,treated_down_R_negative,0.8882345297815633
ENSG00000160796,0.0,3.6635616461296463,-3.6635616461296463,140689.5,1.2372689138223005e-37,-0.24002838926089068,5.478954852186607e-23,0.39276485788113696,0.7448330683624801,1089,4.6498950878143394e-35,3.806348300762959e-21,ENSG00000160796,NBEAL2,protein_coding,chr3,treated_down_R_negative,0.8793588008784762
ENSG00000143702,0.0,3.1780538303479458,-3.1780538303479458,182214.5,1.2595174284092057e-14,-0.2730214898697207,1.6488029721475045e-29,0.4573643410852713,0.6661367249602543,1015,8.75013967580587e-13,3.59658119651728e-27,ENSG00000143702,CEP170,protein_coding,chr1,treated_down_R_negative,0.8676769916477687
ENSG00000155096,0.0,2.6020033435383976,-2.6020033435383976,214275.0,0.00019688755928979056,-0.3279722624540966,1.494187407054839e-42,0.48320413436692505,0.5906200317965024,930,0.0017791175078002426,4.660818778826159e-39,ENSG00000155096,AZIN1,protein_coding,chr8,treated_down_R_negative,0.8533849234934122
ENSG00000151893,0.0,3.8066624897703196,-3.8066624897703196,187878.5,2.320064316683949e-12,-0.22409273448979536,3.6057860910940526e-20,0.4444444444444444,0.6565977742448331,998,1.1961944831458251e-10,1.5158394277560213e-18,ENSG00000151893,CACUL1,protein_coding,chr10,treated_down_R_negative,0.8530454066123636
ENSG00000173726,0.0,3.8918202981106265,-3.8918202981106265,184252.5,9.336402985146933e-14,-0.21870309873768967,2.901749137627617e-19,0.46511627906976744,0.6661367249602543,1018,5.889377556231483e-12,1.0439937814304296e-17,ENSG00000173726,TOMM20,protein_coding,chr1,treated_down_R_negative,0.8511531589270331
ENSG00000143641,0.0,2.772588722239781,-2.772588722239781,162394.5,8.036125854497726e-25,-0.30626592421322296,4.628835912956442e-37,0.3798449612403101,0.6494435612082671,964,1.5010231962835183e-22,4.010757739801397e-34,ENSG00000143641,GALNT2,protein_coding,chr1,treated_down_R_negative,0.8491494474799255
ENSG00000023191,0.0,3.384246605824315,-3.384246605824315,219600.5,0.0021467589769355922,-0.25031690412423024,6.393836682420761e-25,0.4754521963824289,0.5588235294117647,887,0.012882618847162741,6.193880361327664e-23,ENSG00000023191,RNH1,protein_coding,chr11,treated_down_R_negative,0.8471341331628767
ENSG00000167642,0.0,3.6109179126442243,-3.6109179126442243,138733.5,1.054072073318991e-42,-0.22854624940989737,6.174763741991829e-21,0.16795865633074936,0.6017488076311606,822,5.668908652248153e-40,2.963221621599248e-19,ENSG00000167642,SPINT2,protein_coding,chr19,treated_down_R_negative,0.8252617458618529
ENSG00000132334,0.0,4.143134726391533,-4.143134726391533,121058.0,5.71056428084377e-54,-0.19904342306131018,3.686188123763945e-16,0.25064599483204136,0.7106518282988871,991,5.746117148785798e-51,7.505435126930074e-15,ENSG00000132334,PTPRE,protein_coding,chr10,treated_down_R_negative,0.8246637181451554
ENSG00000164080,0.0,3.7376696182833684,-3.7376696182833684,206103.5,2.0318651850487694e-06,-0.21963928670783098,2.0279259212066733e-19,0.4702842377260982,0.609697933227345,949,3.358768983424815e-05,7.539582033396872e-18,ENSG00000164080,RAD54L2,protein_coding,chr3,treated_down_R_negative,0.8209390889092899
ENSG00000131504,0.0,3.9318256327243257,-3.9318256327243257,180152.0,3.779580486453692e-15,-0.20383763398723692,6.890883338391461e-17,0.49870801033591733,0.7472178060413355,1133,2.79375483682346e-13,1.5724017847435614e-15,ENSG00000131504,DIAPH1,protein_coding,chr5,treated_down_R_negative,0.8014540342248974
ENSG00000184900,0.0,3.295836866004329,-3.295836866004329,195941.0,1.8062890127431004e-09,-0.23791494823420048,1.33249631100013e-22,0.4806201550387597,0.629570747217806,978,5.844769001503686e-08,8.768893972368578e-21,ENSG00000184900,SUMO3,protein_coding,chr21,treated_down_R_negative,0.7841288573637895
ENSG00000136504,0.0,3.6375861597263857,-3.6375861597263857,193217.0,2.345961934988501e-10,-0.21290296385597296,2.5752307523290082e-18,0.48320413436692505,0.6470588235294118,1001,8.774291443416824e-09,7.79138437026176e-17,ENSG00000136504,KAT7,protein_coding,chr17,treated_down_R_negative,0.7744528746872141
ENSG00000213722,0.6931471805599453,4.1588830833596715,-3.465735902799726,186746.0,1.2746676098303294e-12,-0.22287046333696664,5.814006599264365e-20,0.5090439276485789,0.6860095389507154,1060,6.890937045656407e-11,2.3431047525950044e-18,ENSG00000213722,DDAH2,protein_coding,chr6,treated_down_R_negative,0.7724101664605353
ENSG00000148660,0.0,3.1780538303479458,-3.1780538303479458,175243.5,8.781469476467868e-19,-0.2426280749832312,1.814533768683628e-23,0.32299741602067183,0.5794912559618441,854,9.511124214564661e-17,1.3671679189987538e-21,ENSG00000148660,CAMK2G,protein_coding,chr10,treated_down_R_negative,0.7710850830504065
ENSG00000150093,0.0,3.8066624897703196,-3.8066624897703196,170412.0,9.218469216149494e-20,-0.200735794045456,2.0491567513389536e-16,0.46770025839793283,0.733704292527822,1104,1.1017306906488552e-17,4.3276470240024355e-15,ENSG00000150093,ITGB1,protein_coding,chr10,treated_down_R_negative,0.7641334175470976
ENSG00000165650,0.6931471805599453,3.6375861597263857,-2.9444389791664403,184148.0,9.345820826257764e-14,-0.2581978294698154,1.8361289115181165e-26,0.5116279069767442,0.6621621621621622,1031,5.889377556231483e-12,2.3188003699184053e-24,ENSG00000165650,PDZD8,protein_coding,chr10,treated_down_R_negative,0.7602477534270938
ENSG00000117984,0.0,3.4657359027997265,-3.4657359027997265,159381.0,9.831635808122029e-26,-0.2189277085119213,2.6631264252954475e-19,0.4573643410852713,0.7257551669316376,1090,1.941001365587028e-23,9.648188453454226e-18,ENSG00000117984,CTSD,protein_coding,chr11,treated_down_R_negative,0.758745619507439
ENSG00000197226,0.0,3.2188758248682006,-3.2188758248682006,199890.5,3.9347663343535485e-08,-0.23248181272209711,1.2580725084302755e-21,0.4883720930232558,0.6462639109697933,1002,9.76429325914799e-07,6.933402076937382e-20,ENSG00000197226,TBC1D9B,protein_coding,chr5,treated_down_R_negative,0.7483300866926949
ENSG00000173786,0.0,3.020127355638707,-3.020127355638707,207831.5,5.35729811813016e-06,-0.24688428451416722,2.888440977798287e-24,0.4573643410852713,0.5945945945945946,925,7.984242723307886e-05,2.552383552987591e-22,ENSG00000173786,CNP,protein_coding,chr17,treated_down_R_negative,0.745621981338526
ENSG00000071553,0.0,3.1780538303479458,-3.1780538303479458,217680.0,0.0010503168827605673,-0.2294156821582413,4.356040876645213e-21,0.49870801033591733,0.6009538950715422,949,0.007224373654674835,2.1636621507196515e-19,ENSG00000071553,ATP6AP1,protein_coding,chrX,treated_down_R_negative,0.7290953874248857
ENSG00000184014,0.0,3.0677824455408693,-3.0677824455408693,197766.5,7.13154394983506e-09,-0.23717151098564915,1.817791505177773e-22,0.4728682170542636,0.6279809220985691,973,2.0751329330895992e-07,1.1715365789464933e-20,ENSG00000184014,DENND5A,protein_coding,chr11,treated_down_R_negative,0.7275905979841779
ENSG00000138107,0.6931471805599453,3.7726948748059117,-3.0795476942459663,197266.0,6.495118420348432e-09,-0.23388061323325374,7.0963176887305205e-22,0.5090439276485789,0.6605723370429253,1028,1.9077422682290832e-07,4.061567663570112e-20,ENSG00000138107,ACTR1A,protein_coding,chr10,treated_down_R_negative,0.7202465032112991
ENSG00000054282,0.0,3.1780538303479458,-3.1780538303479458,187588.0,2.1822069255340276e-12,-0.22547626504192386,2.0925134374896886e-20,0.4780361757105943,0.6685214626391097,1026,1.1344930104697155e-10,9.25840732703771e-19,ENSG00000054282,SDCCAG8,protein_coding,chr1,treated_down_R_negative,0.7165757077690348
ENSG00000101367,1.3862943611198906,4.388237894673161,-3.00194353355327,194388.0,8.555755239628519e-10,-0.23402088117704506,6.698950740317135e-22,0.5348837209302325,0.6844197138314785,1068,2.916717739778496e-08,3.8624837420094716e-20,ENSG00000101367,MAPRE1,protein_coding,chr20,treated_down_R_negative,0.7025174709658686
ENSG00000067064,0.0,3.020127355638707,-3.020127355638707,178645.0,4.238077639555893e-17,-0.2318957111933504,1.5974067368763645e-21,0.3333333333333333,0.5771065182829889,855,3.7988033278927296e-15,8.620745388128796e-20,ENSG00000067064,IDI1,protein_coding,chr10,treated_down_R_negative,0.7003545810303307
ENSG00000122958,0.0,2.4849066497880004,-2.4849066497880004,203764.5,3.73302069376577e-07,-0.2805509986557702,3.935990256863734e-31,0.4470284237726098,0.5882352941176471,913,7.502842429164669e-06,1.1474331222649574e-28,ENSG00000122958,VPS26A,protein_coding,chr10,treated_down_R_negative,0.6971430421643877
ENSG00000140332,1.3862943611198906,3.7494348669884654,-2.363140505868575,171899.0,8.306293899045977e-19,-0.2948660319659264,2.3418258907906965e-34,0.599483204134367,0.7503974562798092,1176,9.027812738430005e-17,1.1067965910823363e-31,ENSG00000140332,TLE3,protein_coding,chr15,treated_down_R_negative,0.6968098639434188
ENSG00000186716,0.0,3.2188758248682006,-3.2188758248682006,179455.5,8.45798384258234e-16,-0.21416857130937236,1.6078893119092619e-18,0.45478036175710596,0.6740858505564388,1024,6.595747250041773e-14,5.055936623627581e-17,ENSG00000186716,BCR,protein_coding,chr22,treated_down_R_negative,0.6893820366343
ENSG00000130640,0.0,2.5649493574615367,-2.5649493574615367,196413.5,1.6382099361152869e-09,-0.26810302089002325,1.7762286683898085e-28,0.42377260981912146,0.5914149443561209,908,5.3341004736162994e-08,3.061099494645486e-26,ENSG00000130640,TUBGCP2,protein_coding,chr10,treated_down_R_negative,0.6876706711653621
ENSG00000148400,1.9459101490553132,4.471622466566395,-2.525712317511082,176388.0,8.157817215325691e-17,-0.2720414430037699,2.658156022656666e-29,0.5633074935400517,0.7281399046104928,1134,7.168078659088853e-15,5.6405347493013186e-27,ENSG00000148400,NOTCH1,protein_coding,chr9,treated_down_R_negative,0.6870984234681106
ENSG00000084733,0.6931471805599453,3.1354942159291497,-2.4423470353692043,216371.0,0.0005938128256921505,-0.2810403603322314,3.0751558061042464e-31,0.5116279069767442,0.6089030206677265,964,0.004494735130263347,9.135555719981882e-29,ENSG00000084733,RAB10,protein_coding,chr2,treated_down_R_negative,0.6863980908765183
ENSG00000133246,0.0,2.4849066497880004,-2.4849066497880004,215518.5,0.00034720258242501817,-0.2747026632937373,7.234083627683322e-30,0.46511627906976744,0.581081081081081,911,0.0028727560089081144,1.6839758999875066e-27,ENSG00000133246,PRAM1,protein_coding,chr19,treated_down_R_negative,0.6826104747330819
ENSG00000105639,0.0,4.442651256490317,-4.442651256490317,146883.0,2.6707909288660253e-33,-0.1530670944348285,4.368039921968122e-10,0.4263565891472868,0.7503974562798092,1109,8.330998144411793e-31,2.994555368922014e-09,ENSG00000105639,JAK3,protein_coding,chr19,treated_down_R_negative,0.6800237194182127
ENSG00000115355,2.4849066497880004,4.330733340286331,-1.8458266904983307,185851.5,1.2412175819209033e-12,-0.36825641856238395,5.396759060851748e-54,0.627906976744186,0.787758346581876,1234,6.733443483975432e-11,1.6834110538514858e-49,ENSG00000115355,CCDC88A,protein_coding,chr2,treated_down_R_negative,0.6797375263297732
ENSG00000168214,0.0,2.4849066497880004,-2.4849066497880004,205601.0,1.4024006059272212e-06,-0.27218604478925745,2.4776013404579042e-29,0.46511627906976744,0.6017488076311606,937,2.4343395715463446e-05,5.293412233760508e-27,ENSG00000168214,RBPJ,protein_coding,chr4,treated_down_R_negative,0.6763569126763204
ENSG00000126432,0.0,3.8918202981106265,-3.8918202981106265,176477.5,1.5994186580133137e-17,-0.17183233938168127,2.2793773667817454e-12,0.38242894056847543,0.6375198728139905,950,1.5104221115045248e-15,2.3062153163160227e-11,ENSG00000126432,PRDX5,protein_coding,chr11,treated_down_R_negative,0.6687405862774611
ENSG00000144580,0.6931471805599453,3.5553480614894135,-2.862200880929468,199202.5,2.8258550024575222e-08,-0.23199978331244908,1.5311614243737477e-21,0.5012919896640827,0.6717011128775835,1039,7.284867362946899e-07,8.306351010520054e-20,ENSG00000144580,CNOT9,protein_coding,chr2,treated_down_R_negative,0.6640299841723375
ENSG00000148396,0.0,3.113268334643733,-3.113268334643733,194876.0,9.290829723871474e-10,-0.21152871248380245,4.280238188912845e-18,0.48578811369509045,0.6518282988871225,1008,3.150096212790466e-08,1.2408315039661558e-16,ENSG00000148396,SEC16A,protein_coding,chr9,treated_down_R_negative,0.6585456424437807
ENSG00000087074,0.0,4.840234496705035,-4.840234496705035,167949.0,5.81277370485079e-21,-0.13600084996940212,3.067183565600229e-08,0.49612403100775193,0.7344992050874404,1116,7.8154245765263235e-19,1.5827073111954997e-07,ENSG00000087074,PPP1R15A,protein_coding,chr19,treated_down_R_negative,0.6582760056031061
ENSG00000149182,0.0,2.8029010331479984,-2.8029010331479984,212071.0,5.1255122120117414e-05,-0.2345222448907156,5.450299552753074e-22,0.45219638242894056,0.5564387917329093,875,0.0005617712664416102,3.1897034512012503e-20,ENSG00000149182,ARFGAP2,protein_coding,chr11,treated_down_R_negative,0.6573426425003747
ENSG00000108039,0.0,2.833213344056216,-2.833213344056216,174748.0,4.648846272220608e-19,-0.23020408328957973,3.170620309074367e-21,0.3023255813953488,0.5834658187599364,851,5.1605502409031104e-17,1.6293436458147733e-19,ENSG00000108039,XPNPEP1,protein_coding,chr10,treated_down_R_negative,0.6522172806322659
ENSG00000107862,0.0,2.9174053685313024,-2.9174053685313024,190062.0,1.7987730134468137e-11,-0.22318089989357168,5.1510585517802095e-20,0.4728682170542636,0.6613672496025437,1015,8.108255290237928e-10,2.0921480391364594e-18,ENSG00000107862,GBF1,protein_coding,chr10,treated_down_R_negative,0.6511091555031532
ENSG00000165672,1.0986122886681096,3.367295829986474,-2.2686835413183646,222669.5,0.008125213553158199,-0.28679554976745797,1.6256174580286208e-32,0.5322997416020672,0.5818759936406995,938,0.03763733091233497,5.896265740498461e-30,ENSG00000165672,PRDX3,protein_coding,chr10,treated_down_R_negative,0.6506483434807838
ENSG00000105063,0.0,2.772588722239781,-2.772588722239781,187867.5,1.451188552291835e-12,-0.23206447831573443,1.4913573762981443e-21,0.4418604651162791,0.6136724960254372,943,7.791209038147884e-11,8.118658052158468e-20,ENSG00000105063,PPP6R1,protein_coding,chr19,treated_down_R_negative,0.6434193554106635
ENSG00000204482,0.0,1.9459101490553132,-1.9459101490553132,189199.0,2.6498896072646583e-12,-0.330051864542229,4.209269502413376e-43,0.3953488372093023,0.5786963434022258,881,1.3572743270838504e-10,1.4588860398753385e-39,ENSG00000204482,LST1,protein_coding,chr6,treated_down_R_negative,0.642251272927353
ENSG00000182718,0.0,4.68213122712422,-4.68213122712422,182100.0,1.0967177129432365e-14,-0.1364990828258921,2.7282698384242858e-08,0.4134366925064599,0.6772655007949125,1012,7.68762148760413e-13,1.4174370597929504e-07,ENSG00000182718,ANXA2,protein_coding,chr15,treated_down_R_negative,0.6391066181729247
ENSG00000128050,1.0986122886681096,3.091042453358316,-1.9924301646902065,219096.0,0.0020843548595002796,-0.3190883004877437,2.9985953090003065e-40,0.5322997416020672,0.6192368839427663,985,0.012614916789365972,4.251599248802116e-37,ENSG00000128050,PAICS,protein_coding,chr4,treated_down_R_negative,0.6357611550915133
ENSG00000012061,0.0,2.302585092994046,-2.302585092994046,201349.5,6.451649497321077e-08,-0.27529247361921927,5.410826685053096e-30,0.42377260981912146,0.5850556438791733,900,1.5397574810247618e-06,1.2883963113500858e-27,ENSG00000012061,ERCC1,protein_coding,chr19,treated_down_R_negative,0.633884345969071
ENSG00000166037,0.0,2.6020033435383976,-2.6020033435383976,214990.5,0.000250719574215061,-0.24289065276660912,1.62170756770188e-23,0.46511627906976744,0.5635930047694754,889,0.0021796810698133775,1.2278136931874938e-21,ENSG00000166037,CEP57,protein_coding,chr11,treated_down_R_negative,0.6320022906129409
ENSG00000140563,0.0,3.5263605246161616,-3.5263605246161616,135636.0,4.774660448507034e-44,-0.17675394483361978,5.184890721969237e-13,0.23255813953488372,0.6248012718600954,876,2.659571131612141e-41,5.849269305258099e-12,ENSG00000140563,MCTP2,protein_coding,chr15,treated_down_R_negative,0.6232981336314596
ENSG00000140526,0.6931471805599453,3.198464827608073,-2.5053176470481278,189388.0,1.5176972288196436e-11,-0.24507426008904554,6.337955908702619e-24,0.5142118863049095,0.705087440381558,1086,6.941573263720109e-10,5.202627859477915e-22,ENSG00000140526,ABHD2,protein_coding,chr15,treated_down_R_negative,0.6139888686383485
ENSG00000166197,0.0,2.5249280036247685,-2.5249280036247685,208493.0,9.094299100891125e-06,-0.2419822588695826,2.3906898361107945e-23,0.4909560723514212,0.6120826709062003,960,0.00012686872623170702,1.754653836654212e-21,ENSG00000166197,NOLC1,protein_coding,chr10,treated_down_R_negative,0.6109877818001872
ENSG00000136738,0.0,2.4849066497880004,-2.4849066497880004,205584.0,1.4182961759959778e-06,-0.2454397689991652,5.4107298411401886e-24,0.4909560723514212,0.5977742448330684,942,2.453738913912509e-05,4.494243581883087e-22,ENSG00000136738,STAM,protein_coding,chr10,treated_down_R_negative,0.6098949141084563
ENSG00000084652,0.0,2.8903717578961645,-2.8903717578961645,205273.5,1.0803643249701456e-06,-0.21067677012237418,5.854511588774063e-18,0.46770025839793283,0.5922098569157392,926,1.9213115386997578e-05,1.6647199634332664e-16,ENSG00000084652,TXLNA,protein_coding,chr1,treated_down_R_negative,0.6089341864064928
ENSG00000163597,0.0,2.5249280036247685,-2.5249280036247685,212563.0,7.892534821843879e-05,-0.2381022591327214,1.231997863206492e-22,0.4728682170542636,0.5874403815580286,922,0.0008160153751997882,8.176533903617044e-21,ENSG00000163597,SNHG16,lncRNA,chr17,treated_down_R_negative,0.6011910618105295
ENSG00000156030,0.0,3.6635616461296463,-3.6635616461296463,184476.0,1.535457105253284e-13,-0.16390349686756214,2.2636613841825404e-11,0.4909560723514212,0.6891891891891891,1057,9.503078072255095e-12,1.936122554340718e-10,ENSG00000156030,MIDEAS,protein_coding,chr14,treated_down_R_negative,0.6004705647905313
ENSG00000108883,1.3862943611198906,3.4965075614664802,-2.11021320034659,218225.0,0.0014169270456038084,-0.2844356858808443,5.472852739698206e-32,0.5322997416020672,0.6144674085850557,979,0.00920795944448325,1.8356418871979158e-29,ENSG00000108883,EFTUD2,protein_coding,chr17,treated_down_R_negative,0.6002199389953937
ENSG00000159720,0.0,2.302585092994046,-2.302585092994046,223341.0,0.009341381126079878,-0.2604108181781208,6.626510937376326e-27,0.46770025839793283,0.5445151033386327,866,0.04186576170485771,8.871277067363936e-25,ENSG00000159720,ATP6V0D1,protein_coding,chr16,treated_down_R_negative,0.5996180679913238
ENSG00000120705,0.0,2.8903717578961645,-2.8903717578961645,209044.0,1.1149162298277109e-05,-0.20687511386783436,2.3299237206599703e-17,0.4780361757105943,0.589825119236884,927,0.00015052866240659258,5.837534989441483e-16,ENSG00000120705,ETF1,protein_coding,chr5,treated_down_R_negative,0.5979459865351416
ENSG00000100225,1.0986122886681096,4.04305126783455,-2.9444389791664407,210468.0,3.4869001939224356e-05,-0.2013822017325495,1.6352140645452497e-16,0.537467700258398,0.6581875993640699,1036,0.00040194707224324664,3.4912547786009564e-15,ENSG00000100225,FBXO7,protein_coding,chr22,treated_down_R_negative,0.5929576044916783
ENSG00000198846,0.0,2.70805020110221,-2.70805020110221,205618.0,1.411618570096989e-06,-0.21855216146536585,3.073836739847311e-19,0.4780361757105943,0.5969793322734499,936,2.4462565587241877e-05,1.1033623639362161e-17,ENSG00000198846,TOX,protein_coding,chr8,treated_down_R_negative,0.5918502248076066
ENSG00000160799,0.0,3.198464827608073,-3.198464827608073,207465.0,3.9969552644164755e-06,-0.18301855148019563,7.39828036034256e-14,0.4470284237726098,0.5850556438791733,909,6.126635162798188e-05,9.770303102462552e-13,ENSG00000160799,CCDC12,protein_coding,chr3,treated_down_R_negative,0.5853783997091832
ENSG00000147526,0.0,2.8903717578961645,-2.8903717578961645,182645.0,1.5975697554873856e-14,-0.20191381390616106,1.357464559402222e-16,0.4470284237726098,0.6526232114467408,994,1.097643026055463e-12,2.946652192166563e-15,ENSG00000147526,TACC1,protein_coding,chr8,treated_down_R_negative,0.5836059852434697
ENSG00000115234,1.3862943611198906,4.226807104886683,-2.8405127437667925,222906.0,0.00925290490101759,-0.20452648280143113,5.3966345133557754e-17,0.5271317829457365,0.6081081081081081,969,0.04157077093150535,1.2571861118379888e-15,ENSG00000115234,SNX17,protein_coding,chr2,treated_down_R_negative,0.5809600808352648
ENSG00000064607,0.0,2.0794415416798357,-2.0794415416798357,210620.5,2.8980197085421317e-05,-0.2773698403319479,1.9345545124546792e-30,0.49870801033591733,0.5945945945945946,941,0.00034241639685058604,5.157654607435795e-28,ENSG00000064607,SUGP2,protein_coding,chr19,treated_down_R_negative,0.5767743683953556
ENSG00000213625,0.0,2.833213344056216,-2.833213344056216,211460.5,4.353335359530342e-05,-0.2035027677993847,7.757841023576771e-17,0.4599483204134367,0.5922098569157392,923,0.0004886003528042812,1.7560982224124106e-15,ENSG00000213625,LEPROT,protein_coding,chr1,treated_down_R_negative,0.5765667572815903
ENSG00000092929,1.3862943611198906,3.650573902928016,-2.2642795418081256,204525.5,9.944636866438288e-07,-0.253816142147348,1.3420289295785706e-25,0.5348837209302325,0.6502384737678856,1025,1.7848277202233e-05,1.489747629905493e-23,ENSG00000092929,UNC13D,protein_coding,chr17,treated_down_R_negative,0.5747106980449032
ENSG00000143815,0.0,3.1354942159291497,-3.1354942159291497,201666.5,1.2633586638090737e-07,-0.18094073211625483,1.4222298316354768e-13,0.4754521963824289,0.6359300476947536,984,2.8453391191477575e-06,1.7845380184314331e-12,ENSG00000143815,LBR,protein_coding,chr1,treated_down_R_negative,0.5673386189765027
