contrast_a,contrast_b,ID_REF,n_a,n_b,median_a,median_b,delta_median_a_minus_b,mean_a,mean_b,delta_mean_a_minus_b,std_a,std_b,u_statistic,p_value,rank_biserial,q_value_bh,abs_delta_median,abs_rank_biserial,probe_id,ucsc_refgene_name,ucsc_refgene_accession,refgene_group,cpg_island_name,relation_to_cpg_island,regulatory_feature_group,regulatory_feature_name,phantom4_enhancers,hmm_island,chromosome,mapinfo,strand,design_type,color_channel,UCSC_RefGene_Name,UCSC_RefGene_Accession,UCSC_RefGene_Group,UCSC_CpG_Islands_Name,Relation_to_UCSC_CpG_Island
D3,not_D3,cg21110092,16,347,0.719118757608647,0.5036996550878675,0.2154191025207794,0.680026917497589,0.490082143406409,0.18994477409118,0.1602643130632944,0.2137438308573662,3867.0,0.0004496995273584,0.3930115273775216,0.1189615857115277,0.2154191025207794,0.3930115273775216,cg21110092,,,,,,,,,,7,30740619.0,R,II,,,,,,
D3,not_D3,cg06880615,16,347,0.792115957373743,0.600171926360204,0.1919440310135389,0.7716073553097709,0.5700504560061703,0.2015568993036005,0.0938987372140707,0.2249870123644216,3675.0,0.0003022775119634,0.3238472622478385,0.1189615857115277,0.1919440310135389,0.3238472622478385,cg06880615,GRIN2A;GRIN2A;GRIN2A,NM_001134407;NM_000833;NM_001134408,Body;Body;Body,,,,,,,16,10051500.0,F,I,Red,GRIN2A;GRIN2A;GRIN2A,NM_001134407;NM_000833;NM_001134408,Body;Body;Body,,
D3,not_D3,cg10294939,16,347,0.8049682688042235,0.6499608133230019,0.1550074554812215,0.7849913138540078,0.5949232856067019,0.1900680282473058,0.0809071616000117,0.2231633567006395,4161.0,0.0005373280339068,0.4989193083573486,0.1189615857115277,0.1550074554812215,0.4989193083573486,cg10294939,,,,,,,,,10:1840229-1840433,10,1850312.0,R,I,Red,,,,,
D3,not_D3,cg00440195,16,347,0.9155831955158924,0.7841398189919699,0.1314433765239225,0.8975112231414102,0.7058724602003886,0.1916387629410215,0.0498801694290408,0.2264476228241853,4052.0,0.0003846291253354,0.4596541786743515,0.1189615857115277,0.1314433765239225,0.4596541786743515,cg00440195,,,,,,,,,,16,86652360.0,R,I,Grn,,,,,
D3,not_D3,cg12522722,16,347,0.8588646381747456,0.7537269901146675,0.105137648060078,0.8409369566019642,0.6762532421157376,0.1646837144862266,0.0608620738899131,0.21451967578891,4175.0,0.0005882046410518,0.5039625360230549,0.1225426335524667,0.105137648060078,0.5039625360230549,cg12522722,ZW10,NM_004724,3'UTR,,,,,,,11,113604256.0,R,II,,ZW10,NM_004724,3'UTR,,
D3,not_D3,cg24995678,16,347,0.729611965248499,0.460001554720099,0.2696104105284,0.6711281057819181,0.4906876277518481,0.1804404780300699,0.1462532026506745,0.2101216765453148,4150.0,0.0007357343881824,0.494956772334294,0.1227433106796555,0.2696104105284,0.494956772334294,cg24995678,SH3BP4,NM_014521,5'UTR,,,,,,2:235601098-235601341,2,235936394.0,R,I,Red,SH3BP4,NM_014521,5'UTR,,
D3,not_D3,cg08477332,16,347,0.7889938374838825,0.534647892353821,0.2543459451300615,0.6976564617941825,0.4964042139717168,0.2012522478224656,0.1348606175332959,0.230563734577175,4179.0,0.0006318164995059,0.5054034582132565,0.1227433106796555,0.2543459451300615,0.5054034582132565,cg08477332,S100A14,NM_020672,TSS1500,,,Unclassified,1:153589758-153590695,,,1,153590243.0,R,II,,S100A14,NM_020672,TSS1500,,
D3,not_D3,cg03928154,16,347,0.753211450747205,0.542869037993255,0.2103424127539499,0.7121865254007695,0.5302281815978054,0.1819583438029641,0.1440951644718413,0.2178002654562751,4019.0,0.0007364598640779,0.4477665706051874,0.1227433106796555,0.2103424127539499,0.4477665706051874,cg03928154,,,,,,,,,12:129759911-129760156,12,131194179.0,R,I,Red,,,,,
D3,not_D3,cg24140586,16,347,0.814721806019993,0.6269546280718734,0.1877671779481196,0.7579323151627824,0.5977176782631809,0.1602146368996014,0.1428394748158485,0.2101522464887367,4150.0,0.0007357343881824,0.494956772334294,0.1227433106796555,0.1877671779481196,0.494956772334294,cg24140586,CYP2C9,NM_000771,TSS1500,,,,,,,10,96697436.0,R,II,,CYP2C9,NM_000771,TSS1500,,
D3,not_D3,cg01900397,16,347,0.602540518998276,0.421763188487569,0.180777330510707,0.632337401232562,0.4482856779958828,0.1840517232366791,0.1596290238940475,0.208935635853994,4174.0,0.0006606931611019,0.5036023054755043,0.1227433106796555,0.180777330510707,0.5036023054755043,cg01900397,HEATR7B2,NM_173489,TSS1500,,,,,,,5,41071990.0,R,II,,HEATR7B2,NM_173489,TSS1500,,
D3,not_D3,cg21472835,16,347,0.8439425958602385,0.728029981222165,0.1159126146380734,0.8089586331238677,0.651243451902823,0.1577151812210447,0.0988960162434496,0.2199814095772437,4154.0,0.0007100234511742,0.4963976945244956,0.1227433106796555,0.1159126146380734,0.4963976945244956,cg21472835,COX7B2,NM_130902,5'UTR,,,,,,,4,46874750.0,R,II,,COX7B2,NM_130902,5'UTR,,
D3,not_D3,cg19526685,16,347,0.571907726843666,0.360836520850295,0.2110712059933709,0.5670205360954309,0.3886562520588872,0.1783642840365437,0.1402215557366202,0.2097740318297992,4141.0,0.0007967778830362,0.49171469740634,0.1285125617800374,0.2110712059933709,0.49171469740634,cg19526685,,,,,,NonGene_Associated_Cell_type_specific,8:126963359-126963692,,,8,126963507.0,F,II,,,,,,
D3,not_D3,cg15655935,16,347,0.753220328661333,0.5575785281244581,0.1956418005368749,0.7150075994439957,0.5447625267551535,0.1702450726888422,0.1418977925218959,0.2128323965237108,4134.0,0.000847470417502,0.489193083573487,0.1324172527347021,0.1956418005368749,0.489193083573487,cg15655935,PLAC1L,NM_173801,3'UTR,,,,,,,11,59815177.0,F,II,,PLAC1L,NM_173801,3'UTR,,
D3,not_D3,cg16400631,16,347,0.3283496258992205,0.5793812826216691,-0.2510316567224486,0.3593456835485492,0.5384315497598103,-0.1790858662112611,0.1776893312263511,0.212859751552944,1409.0,0.0010435360747551,-0.4924351585014409,0.1534611874639984,0.2510316567224486,0.4924351585014409,cg16400631,,,,chr1:91300979-91301891,N_Shore,,,,1:91072778-91072881,1,91300215.0,R,I,Red,,,,chr1:91300979-91301891,N_Shore
D3,not_D3,cg08701134,16,347,0.8716289471367675,0.657644335770618,0.2139846113661495,0.8171328443629976,0.6309673970815926,0.186165447281405,0.1220412806469072,0.2273555153771468,4100.0,0.0010287779597996,0.4769452449567724,0.1534611874639984,0.2139846113661495,0.4769452449567724,cg08701134,WWP2;WWP2,NM_199424;NM_007014,Body;Body,,,,,,16:68526403-68527120,16,69969618.0,R,I,Red,WWP2;WWP2,NM_199424;NM_007014,Body;Body,,
D3,not_D3,cg21873275,16,347,0.771619935943183,0.547375807952328,0.224244127990855,0.7454565928987119,0.5347351405414029,0.210721452357309,0.1451510601440695,0.2418392703058627,3302.0,0.0010769265250158,0.1894812680115274,0.1538466464308383,0.224244127990855,0.1894812680115274,cg21873275,,,,,,,,,1:147336314-147336514,1,149069813.0,R,I,Red,,,,,
D3,not_D3,cg12993715,16,347,0.317760644315773,0.609796947569429,-0.292036303253656,0.3642374826506498,0.5696250818925721,-0.2053875992419223,0.2281367803508853,0.2383089777331693,1448.0,0.0012623774899348,-0.478386167146974,0.1699947482414649,0.292036303253656,0.478386167146974,cg12993715,,,,chr3:147142181-147142391,N_Shore,,,,3:148623510-148623623,3,147140847.0,R,I,Red,,,,chr3:147142181-147142391,N_Shore
D3,not_D3,cg17276002,16,347,0.456863063978144,0.251523620702952,0.205339443275192,0.5159454382470645,0.3238433959594696,0.1921020422875949,0.2089983663736924,0.2284454617334451,4097.0,0.0012919600866351,0.475864553314121,0.1699947482414649,0.205339443275192,0.475864553314121,cg17276002,ANXA7;ANXA7,NM_004034;NM_001156,5'UTR;5'UTR,chr10:75173411-75173950,N_Shore,,,,,10,75172806.0,R,I,Red,ANXA7;ANXA7,NM_004034;NM_001156,5'UTR;5'UTR,chr10:75173411-75173950,N_Shore
D3,not_D3,cg22120395,16,347,0.7805102622755891,0.615758775471247,0.164751486804342,0.7388967868475153,0.5795518126757548,0.1593449741717604,0.1397199981312502,0.2110184128652326,4100.0,0.0012594186201999,0.4769452449567724,0.1699947482414649,0.164751486804342,0.4769452449567724,cg22120395,,,,,,,,,,4,130699705.0,F,II,,,,,,
D3,not_D3,cg18336878,16,347,0.740104713305614,0.492036754963749,0.248067958341865,0.6743708400444322,0.497575347661057,0.1767954923833751,0.1558996613869694,0.2138575834941175,4085.0,0.0014300390144151,0.4715417867435159,0.1743950017579485,0.248067958341865,0.4715417867435159,cg18336878,SULT1E1,NM_005420,Body,,,,,,,4,70709536.0,F,II,,SULT1E1,NM_005420,Body,,
D3,not_D3,cg22785561,16,347,0.7411580057372931,0.60222089268656,0.138937113050733,0.7356107208122409,0.5621436362521778,0.1734670845600631,0.1133931594373237,0.2152447320490793,4044.0,0.0013617241362487,0.456772334293948,0.1743950017579485,0.138937113050733,0.456772334293948,cg22785561,GABRA4,NM_000809,3'UTR,,,,,,,4,46923365.0,F,II,,GABRA4,NM_000809,3'UTR,,
D3,not_D3,cg02567750,16,347,0.7941511330272144,0.758759863493973,0.0353912695332414,0.7907833188051464,0.6490968405667262,0.1416864782384201,0.0291528927194587,0.2213840213604697,3982.0,0.00140372956568,0.4344380403458212,0.1743950017579485,0.0353912695332414,0.4344380403458212,cg02567750,,,,,,,,,1:245635916-245636504,1,247569605.0,R,II,,,,,,
D3,not_D3,cg06614118,16,347,0.814149203047289,0.57961521363711,0.234533989410179,0.7406159389552744,0.5623065006548253,0.1783094383004491,0.1393855096158368,0.224153314377516,3349.0,0.0015828288852454,0.2064121037463977,0.179866918777895,0.234533989410179,0.2064121037463977,cg06614118,BTNL3,NM_197975,TSS1500,,,,,,,5,180414906.0,R,II,,BTNL3,NM_197975,TSS1500,,
D3,not_D3,cg03147324,16,347,0.8073205759377771,0.6156036028274765,0.1917169731103005,0.7778147192348114,0.5993787839991659,0.1784359352356455,0.1491814400401988,0.2251052387791771,4066.0,0.0015210465682274,0.4646974063400577,0.179866918777895,0.1917169731103005,0.4646974063400577,cg03147324,,,,,,,,,,15,29928082.0,F,I,Red,,,,,
D3,not_D3,cg07788140,16,347,0.62264244388794,0.492260635545126,0.130381808342814,0.6327199108866278,0.470584887167087,0.1621350237195408,0.1435213409442435,0.2122497515264986,4073.0,0.0015816101708804,0.4672190201729107,0.179866918777895,0.130381808342814,0.4672190201729107,cg07788140,,,,chr12:113917394-113918107,S_Shelf,,,,,12,113921202.0,R,II,,,,,chr12:113917394-113918107,S_Shelf
D3,not_D3,cg10152684,16,347,0.6169246265371819,0.38396969471654,0.2329549318206419,0.589131535860679,0.4186656608869286,0.1704658749737503,0.177969602287498,0.2153871648259345,4060.0,0.0017624041154837,0.462536023054755,0.1906220925053892,0.2329549318206419,0.462536023054755,cg10152684,,,,chr7:2419808-2420340,S_Shelf,,,,7:2389949-2389997,7,2423467.0,F,I,Red,,,,chr7:2419808-2420340,S_Shelf
D3,not_D3,cg13035219,16,347,0.8019696345628275,0.6151359614667685,0.186833673096059,0.7502472912913981,0.585895100041994,0.1643521912494041,0.1709874658650167,0.2181965865598304,4000.0,0.0017913317618714,0.440922190201729,0.1906220925053892,0.186833673096059,0.440922190201729,cg13035219,,,,,,,,,7:1370055-1370522,7,1403804.0,F,I,Grn,,,,,
D3,not_D3,cg20377881,16,347,0.776807981436928,0.613783861872883,0.1630241195640449,0.736322961464724,0.5685825145688769,0.1677404468958471,0.0820283828531013,0.2144044656657882,4058.0,0.0017918476695506,0.4618155619596542,0.1906220925053892,0.1630241195640449,0.4618155619596542,cg20377881,,,,chr12:27932789-27933738,N_Shelf,,,,,12,27930307.0,R,II,,,,,chr12:27932789-27933738,N_Shelf
D3,not_D3,cg26002568,16,347,0.7038085393414215,0.5101470962124405,0.193661443128981,0.6675471381166613,0.506724103104723,0.1608230350119383,0.1476134243952578,0.2094001456308091,4016.0,0.0019022636263763,0.4466858789625361,0.1981524610808674,0.193661443128981,0.4466858789625361,cg26002568,,,,chr4:74809869-74810089,N_Shelf,,,,,4,74806905.0,R,II,,,,,chr4:74809869-74810089,N_Shelf
D3,not_D3,cg07874011,16,347,0.7937420956634365,0.472195613593984,0.3215464820694524,0.6586886019792079,0.4616540441502941,0.1970345578289137,0.2473988223484335,0.2616822795677975,4012.0,0.0021630123190643,0.4452449567723342,0.1997651026610967,0.3215464820694524,0.4452449567723342,cg07874011,,,,,,Promoter_Associated,7:3134385-3135151,,7:3101060-3101197,7,3134592.0,R,II,,,,,,
D3,not_D3,cg27395310,16,347,0.701702861055247,0.40622098928787,0.295481871767377,0.6622788674038591,0.4696280566041558,0.1926508107997032,0.1502784435787995,0.2182577791071277,3987.0,0.002197416129272,0.4362391930835734,0.1997651026610967,0.295481871767377,0.4362391930835734,cg27395310,,,,chr18:59000683-59001692,N_Shelf,,,,,18,58996785.0,F,II,,,,,chr18:59000683-59001692,N_Shelf
D3,not_D3,cg18010718,16,347,0.6741397909979561,0.3998600639875655,0.2742797270103905,0.6308532345510943,0.4252334074989073,0.2056198270521869,0.2346175851314834,0.2555070515958963,4007.0,0.0020494984084992,0.443443804034582,0.1997651026610967,0.2742797270103905,0.443443804034582,cg18010718,ZACN,NM_180990,TSS200,chr17:74070404-74073530,S_Shore,,,,,17,74075195.0,R,I,Red,ZACN,NM_180990,TSS200,chr17:74070404-74073530,S_Shore
D3,not_D3,cg20507963,16,347,0.272624167597145,0.546571731528027,-0.2739475639308819,0.3396563980416302,0.5249714116415373,-0.185315013599907,0.1863999463140775,0.2282848599345546,1508.0,0.0020109476468878,-0.4567723342939481,0.1997651026610967,0.2739475639308819,0.4567723342939481,cg20507963,,,,chr4:13543562-13546494,N_Shore,,,,4:13150426-13151027,4,13541863.0,R,II,,,,,chr4:13543562-13546494,N_Shore
D3,not_D3,cg13945749,16,347,0.9144376118875136,0.683482775364865,0.2309548365226484,0.8358256282749054,0.6634851813839401,0.1723404468909652,0.1644397024428829,0.232808288145171,4031.0,0.0020347686844102,0.4520893371757926,0.1997651026610967,0.2309548365226484,0.4520893371757926,cg13945749,,,,chr5:2866699-2867005,N_Shore,,,,5:2919239-2919768,5,2866465.0,R,I,Red,,,,chr5:2866699-2867005,N_Shore
D3,not_D3,cg23518497,16,347,0.6717486246040469,0.444043817182051,0.2277048074219959,0.6323946095436593,0.4505138487976275,0.1818807607460318,0.2057992443172692,0.221529943353681,4025.0,0.0021373782057359,0.4499279538904899,0.1997651026610967,0.2277048074219959,0.4499279538904899,cg23518497,,,,,,,,,,12,60298928.0,F,II,,,,,,
D3,not_D3,cg14715697,16,347,0.9211662445216744,0.8202348633120384,0.100931381209636,0.8565791155566406,0.7221265591304842,0.1344525564261564,0.1288734521925851,0.2243981826670207,4000.0,0.0021711643797804,0.440922190201729,0.1997651026610967,0.100931381209636,0.440922190201729,cg14715697,HRNBP3,NM_001082575,5'UTR,chr17:77127405-77127606,Island,,,,17:74638520-74639220,17,77127487.0,F,I,Red,HRNBP3,NM_001082575,5'UTR,chr17:77127405-77127606,Island
D3,not_D3,cg26866325,16,347,0.708740415901802,0.5536464050669845,0.1550940108348175,0.6844291481766676,0.522070378241429,0.1623587699352385,0.1175667118561641,0.2114794214841485,4019.0,0.0022447125368902,0.4477665706051874,0.2004207622223472,0.1550940108348175,0.4477665706051874,cg26866325,PPBPL2,NR_026769,Body,,,,,,,4,74920559.0,R,II,,PPBPL2,NR_026769,Body,,
D3,not_D3,cg14515517,16,347,0.7900975858062655,0.629230487734076,0.1608670980721895,0.7761823408743957,0.6083334983959371,0.1678488424784586,0.0950058049222762,0.2107906233335831,4028.0,0.0022912931222222,0.4510086455331412,0.2009906247563362,0.1608670980721895,0.4510086455331412,cg14515517,MYO3A,NM_017433,5'UTR,chr10:26222921-26224022,S_Shelf,,,,,10,26226964.0,F,II,,MYO3A,NM_017433,5'UTR,chr10:26222921-26224022,S_Shelf
D3,not_D3,cg17772793,16,347,0.856598583331912,0.665535004038377,0.191063579293535,0.7995632175683547,0.6324943898122475,0.1670688277561072,0.1431202016980841,0.2164454006952842,3767.0,0.0023394296658622,0.3569884726224783,0.2016749711950241,0.191063579293535,0.3569884726224783,cg17772793,SMOC2;SMOC2,NM_022138;NM_001166412,Body;Body,,,,,,6:168643990-168644138,6,168901202.0,R,I,Red,SMOC2;SMOC2,NM_022138;NM_001166412,Body;Body,,
D3,not_D3,cg26720125,16,347,0.2636508063128685,0.578148478067081,-0.3144976717542125,0.3359834642543373,0.5110686054165342,-0.1750851411621968,0.2061950387936489,0.2278137160679854,1535.0,0.0025043297302317,-0.4470461095100865,0.2030999898273786,0.3144976717542125,0.4470461095100865,cg26720125,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island,,,,21:36998579-36999842,21,38077673.0,R,II,,SIM2;SIM2,NM_009586;NM_005069,Body;Body,chr21:38076762-38077685,Island
D3,not_D3,cg16278877,16,347,0.815837891845802,0.50499540590287,0.310842485942932,0.7253369184825833,0.5270502625671001,0.1982866559154832,0.2174858085945166,0.2535159250494258,3754.0,0.0026104440438602,0.3523054755043227,0.2030999898273786,0.310842485942932,0.3523054755043227,cg16278877,CDC42BPG,NM_017525,Body,chr11:64596975-64597519,S_Shore,,,,11:64355587-64355697,11,64599084.0,R,I,Grn,CDC42BPG,NM_017525,Body,chr11:64596975-64597519,S_Shore
D3,not_D3,cg17277001,16,347,0.794886563100528,0.558351502736506,0.2365350603640219,0.7039417593780167,0.5366529126984406,0.1672888466795761,0.1855040977260151,0.2217370623327408,3994.0,0.0025046763901432,0.4387608069164266,0.2030999898273786,0.2365350603640219,0.4387608069164266,cg17277001,SLC6A18,NM_182632,Body,chr5:1245901-1246927,N_Shore,,,,5:1297425-1298007,5,1244503.0,R,I,Grn,SLC6A18,NM_182632,Body,chr5:1245901-1246927,N_Shore
D3,not_D3,cg12249516,16,347,0.7368285401404986,0.5250192405091065,0.211809299631392,0.6902611022598765,0.529045332956936,0.1612157693029404,0.1418548633981189,0.210026271675488,4000.0,0.0026180143960799,0.440922190201729,0.2030999898273786,0.211809299631392,0.440922190201729,cg12249516,,,,,,,,,,6,49793920.0,F,II,,,,,,
