pc,rank_by_abs_loading,ID_REF,loading,abs_loading,ID,probe_id,gene_symbol,feature_context,island_context,chromosome,mapinfo,strand,probe_description
PC2,41,cg03195147,0.0357249230146408,0.0357249230146408,cg03195147,,,,,,,,
PC2,42,cg10723575,0.0357178635895252,0.0357178635895252,cg10723575,,,,,,,,
PC2,43,cg03310087,0.0357133038341999,0.0357133038341999,cg03310087,,,,,,,,
PC2,44,cg12712184,0.0356955602765083,0.0356955602765083,cg12712184,,,,,,,,
PC2,45,cg22720392,0.0356313325464725,0.0356313325464725,cg22720392,,,,,,,,
PC2,46,cg11328898,0.0355426482856273,0.0355426482856273,cg11328898,,,,,,,,
PC2,47,cg24504942,0.0354367680847644,0.0354367680847644,cg24504942,,,,,,,,
PC2,48,cg23387692,0.0354047305881977,0.0354047305881977,cg23387692,,,,,,,,
PC2,49,cg08900233,0.0352315455675125,0.0352315455675125,cg08900233,,,,,,,,
PC2,50,cg20137991,0.0351476892828941,0.0351476892828941,cg20137991,,,,,,,,
PC2,51,cg06430465,0.0349796079099178,0.0349796079099178,cg06430465,,,,,,,,
PC2,52,cg07589972,0.0349769257009029,0.0349769257009029,cg07589972,,,,,,,,
PC2,53,cg05040893,0.0349344126880168,0.0349344126880168,cg05040893,,,,,,,,
PC2,54,cg02520816,0.0349228642880916,0.0349228642880916,cg02520816,,,,,,,,
PC2,55,cg05869611,0.0349177941679954,0.0349177941679954,cg05869611,,,,,,,,
PC2,56,cg27175943,0.0348816402256488,0.0348816402256488,cg27175943,,,,,,,,
PC2,57,cg01071314,0.0346072725951671,0.0346072725951671,cg01071314,,,,,,,,
PC2,58,cg13601936,0.0344660952687263,0.0344660952687263,cg13601936,,,,,,,,
PC2,59,cg21827809,0.0344029702246189,0.0344029702246189,cg21827809,,,,,,,,
PC2,60,cg19076425,0.0343122072517871,0.0343122072517871,cg19076425,,,,,,,,
PC2,61,cg05624196,0.0343068614602088,0.0343068614602088,cg05624196,,,,,,,,
PC2,62,cg10397934,0.0342814736068248,0.0342814736068248,cg10397934,,,,,,,,
PC2,63,cg01890568,0.0341165848076343,0.0341165848076343,cg01890568,,,,,,,,
PC2,64,cg07861603,0.0340754128992557,0.0340754128992557,cg07861603,,,,,,,,
PC2,65,cg16765600,0.0340283289551734,0.0340283289551734,cg16765600,,,,,,,,
PC2,66,cg13542073,0.0340141914784908,0.0340141914784908,cg13542073,,,,,,,,
PC2,67,cg05388880,0.034007579088211,0.034007579088211,cg05388880,,,,,,,,
PC2,68,cg23729283,0.0339972488582134,0.0339972488582134,cg23729283,,,,,,,,
PC2,69,cg02676602,0.0339838191866874,0.0339838191866874,cg02676602,,,,,,,,
PC2,70,cg18499201,0.0339812599122524,0.0339812599122524,cg18499201,,,,,,,,
PC2,71,cg19341106,0.0339646190404892,0.0339646190404892,cg19341106,,,,,,,,
PC2,72,cg19418273,0.033942624926567,0.033942624926567,cg19418273,,,,,,,,
PC2,73,cg26344024,0.0338973365724086,0.0338973365724086,cg26344024,,,,,,,,
PC2,74,cg24298423,0.0338159278035163,0.0338159278035163,cg24298423,,,,,,,,
PC2,75,cg26864714,0.0337735228240489,0.0337735228240489,cg26864714,,,,,,,,
PC2,76,cg01090834,-0.0337216593325138,0.0337216593325138,cg01090834,,,,,,,,
PC2,77,cg25693317,0.033683493733406,0.033683493733406,cg25693317,,,,,,,,
PC2,78,cg04562683,0.0336451381444931,0.0336451381444931,cg04562683,,,,,,,,
PC2,79,cg19446340,0.0336440876126289,0.0336440876126289,cg19446340,,,,,,,,
PC2,80,cg01087463,0.0335987098515033,0.0335987098515033,cg01087463,,,,,,,,
PC2,81,cg00425843,0.0335985645651817,0.0335985645651817,cg00425843,,,,,,,,
PC2,82,cg09319828,0.0335798934102058,0.0335798934102058,cg09319828,,,,,,,,
PC2,83,cg03548062,0.0335255041718483,0.0335255041718483,cg03548062,,,,,,,,
PC2,84,cg03678146,0.0335096940398216,0.0335096940398216,cg03678146,,,,,,,,
PC2,85,cg27232401,0.033509150147438,0.033509150147438,cg27232401,,,,,,,,
PC2,86,cg04213900,0.0335048027336597,0.0335048027336597,cg04213900,,,,,,,,
PC2,87,cg19572323,0.0335023030638694,0.0335023030638694,cg19572323,,,,,,,,
PC2,88,cg01154505,0.0334639772772789,0.0334639772772789,cg01154505,,,,,,,,
PC2,89,cg20284937,0.0334172956645488,0.0334172956645488,cg20284937,,,,,,,,
PC2,90,cg21167817,0.0334101393818855,0.0334101393818855,cg21167817,,,,,,,,
PC2,91,cg06609498,0.0334024876356124,0.0334024876356124,cg06609498,,,,,,,,
PC2,92,cg19758859,0.0333370454609394,0.0333370454609394,cg19758859,,,,,,,,
PC2,93,cg12684958,0.0332229845225811,0.0332229845225811,cg12684958,,,,,,,,
PC2,94,cg02084553,0.0331965014338493,0.0331965014338493,cg02084553,,,,,,,,
PC2,95,cg03534360,0.0331739820539951,0.0331739820539951,cg03534360,,,,,,,,
PC2,96,cg14508093,0.0331205911934375,0.0331205911934375,cg14508093,,,,,,,,
PC2,97,cg07807210,0.0331047363579273,0.0331047363579273,cg07807210,,,,,,,,
PC2,98,cg08931917,0.0330909490585327,0.0330909490585327,cg08931917,,,,,,,,
PC2,99,cg20592017,0.0330891981720924,0.0330891981720924,cg20592017,,,,,,,,
PC2,100,cg13909661,0.0330787450075149,0.0330787450075149,cg13909661,,,,,,,,
